year,count,disease_id,disease_name,gender
2008,130,ms,Multiple Sclerosis,women
2009,151,ms,Multiple Sclerosis,women
2010,128,ms,Multiple Sclerosis,women
2011,151,ms,Multiple Sclerosis,women
2012,162,ms,Multiple Sclerosis,women
2013,205,ms,Multiple Sclerosis,women
2014,238,ms,Multiple Sclerosis,women
2015,244,ms,Multiple Sclerosis,women
2016,221,ms,Multiple Sclerosis,women
2017,234,ms,Multiple Sclerosis,women
2018,279,ms,Multiple Sclerosis,women
2019,269,ms,Multiple Sclerosis,women
2020,329,ms,Multiple Sclerosis,women
2021,293,ms,Multiple Sclerosis,women
2022,303,ms,Multiple Sclerosis,women
2023,298,ms,Multiple Sclerosis,women
2024,308,ms,Multiple Sclerosis,women
2025,179,ms,Multiple Sclerosis,women
2000,15,ms,Multiple Sclerosis,men
2001,20,ms,Multiple Sclerosis,men
2002,21,ms,Multiple Sclerosis,men
2003,22,ms,Multiple Sclerosis,men
2004,49,ms,Multiple Sclerosis,men
2005,26,ms,Multiple Sclerosis,men
2006,34,ms,Multiple Sclerosis,men
2007,36,ms,Multiple Sclerosis,men
2008,35,ms,Multiple Sclerosis,men
2009,50,ms,Multiple Sclerosis,men
2010,41,ms,Multiple Sclerosis,men
2011,50,ms,Multiple Sclerosis,men
2012,69,ms,Multiple Sclerosis,men
2013,72,ms,Multiple Sclerosis,men
2014,78,ms,Multiple Sclerosis,men
2015,86,ms,Multiple Sclerosis,men
2016,77,ms,Multiple Sclerosis,men
2017,72,ms,Multiple Sclerosis,men
2018,85,ms,Multiple Sclerosis,men
2019,76,ms,Multiple Sclerosis,men
2020,86,ms,Multiple Sclerosis,men
2021,72,ms,Multiple Sclerosis,men
2022,73,ms,Multiple Sclerosis,men
2023,62,ms,Multiple Sclerosis,men
2024,70,ms,Multiple Sclerosis,men
2025,44,ms,Multiple Sclerosis,men
2000,30,hashimoto,Hashimoto Thyroiditis,women
2001,26,hashimoto,Hashimoto Thyroiditis,women
2002,34,hashimoto,Hashimoto Thyroiditis,women
2003,31,hashimoto,Hashimoto Thyroiditis,women
2004,33,hashimoto,Hashimoto Thyroiditis,women
2005,30,hashimoto,Hashimoto Thyroiditis,women
2006,47,hashimoto,Hashimoto Thyroiditis,women
2007,31,hashimoto,Hashimoto Thyroiditis,women
2008,36,hashimoto,Hashimoto Thyroiditis,women
2009,33,hashimoto,Hashimoto Thyroiditis,women
2010,53,hashimoto,Hashimoto Thyroiditis,women
2011,53,hashimoto,Hashimoto Thyroiditis,women
2012,59,hashimoto,Hashimoto Thyroiditis,women
2013,60,hashimoto,Hashimoto Thyroiditis,women
2014,57,hashimoto,Hashimoto Thyroiditis,women
2015,68,hashimoto,Hashimoto Thyroiditis,women
