year,count,disease_id,disease_name
2012,337,hashimoto,Hashimoto Thyroiditis
2013,361,hashimoto,Hashimoto Thyroiditis
2014,377,hashimoto,Hashimoto Thyroiditis
2015,391,hashimoto,Hashimoto Thyroiditis
2016,389,hashimoto,Hashimoto Thyroiditis
2017,327,hashimoto,Hashimoto Thyroiditis
2018,366,hashimoto,Hashimoto Thyroiditis
2019,374,hashimoto,Hashimoto Thyroiditis
2020,439,hashimoto,Hashimoto Thyroiditis
2021,419,hashimoto,Hashimoto Thyroiditis
2022,469,hashimoto,Hashimoto Thyroiditis
2023,474,hashimoto,Hashimoto Thyroiditis
2024,487,hashimoto,Hashimoto Thyroiditis
2025,284,hashimoto,Hashimoto Thyroiditis
2000,1824,ra,Rheumatoid Arthritis
2001,1979,ra,Rheumatoid Arthritis
2002,2201,ra,Rheumatoid Arthritis
2003,2252,ra,Rheumatoid Arthritis
2004,2378,ra,Rheumatoid Arthritis
2005,2884,ra,Rheumatoid Arthritis
2006,2738,ra,Rheumatoid Arthritis
2007,2994,ra,Rheumatoid Arthritis
2008,2929,ra,Rheumatoid Arthritis
2009,3167,ra,Rheumatoid Arthritis
2010,3426,ra,Rheumatoid Arthritis
2011,3641,ra,Rheumatoid Arthritis
2012,3775,ra,Rheumatoid Arthritis
2013,3737,ra,Rheumatoid Arthritis
2014,3905,ra,Rheumatoid Arthritis
2015,3965,ra,Rheumatoid Arthritis
2016,3979,ra,Rheumatoid Arthritis
2017,3908,ra,Rheumatoid Arthritis
2018,3874,ra,Rheumatoid Arthritis
2019,4017,ra,Rheumatoid Arthritis
2020,4241,ra,Rheumatoid Arthritis
2021,4324,ra,Rheumatoid Arthritis
2022,4182,ra,Rheumatoid Arthritis
2023,4156,ra,Rheumatoid Arthritis
2024,3909,ra,Rheumatoid Arthritis
2025,2470,ra,Rheumatoid Arthritis
2000,0,sjogren,Sj̦gren Syndrome
2001,0,sjogren,Sj̦gren Syndrome
2002,0,sjogren,Sj̦gren Syndrome
2003,0,sjogren,Sj̦gren Syndrome
2004,0,sjogren,Sj̦gren Syndrome
2005,0,sjogren,Sj̦gren Syndrome
2006,0,sjogren,Sj̦gren Syndrome
2007,0,sjogren,Sj̦gren Syndrome
2008,0,sjogren,Sj̦gren Syndrome
2009,0,sjogren,Sj̦gren Syndrome
2010,0,sjogren,Sj̦gren Syndrome
2011,0,sjogren,Sj̦gren Syndrome
2012,0,sjogren,Sj̦gren Syndrome
2013,0,sjogren,Sj̦gren Syndrome
2014,0,sjogren,Sj̦gren Syndrome
2015,0,sjogren,Sj̦gren Syndrome
2016,0,sjogren,Sj̦gren Syndrome
2017,0,sjogren,Sj̦gren Syndrome
2018,0,sjogren,Sj̦gren Syndrome
2019,0,sjogren,Sj̦gren Syndrome
2020,0,sjogren,Sj̦gren Syndrome
2021,0,sjogren,Sj̦gren Syndrome
2022,0,sjogren,Sj̦gren Syndrome
2023,0,sjogren,Sj̦gren Syndrome
2024,0,sjogren,Sj̦gren Syndrome
2025,0,sjogren,Sj̦gren Syndrome
